部品№,品名,規格,棚番
140123,走行体中継基板　　　　　　　　　　　　,OTB470,1F-F-04
140180,走行体中継基板　　　　　　　　　　　　,OTB480A,1F-F-04
140062,増設Ｉ／Ｏ基板　　　　　　　　　　　　,OPM401,1F-F-05
184004,モーション基板　　　　　　　　　　　　,SDC480-MC,1F-F-05
300330,ＣＦ基板（ＳＴＥＣ－４７０）　　　　　,470CF,1F-F-05
350075,Ｉ／Ｏインターフェイス基板　　　　　　,SIOF88 9732-PR10A,1F-F-05
130467,ロックタイト（青）　　　　　　　　　　,243 (50ML),1F-FRIDGE
370204,ロックタイト（白）　　　　　　　　　　,572 (50ML),1F-FRIDGE
370205,ロックタイト（赤）　　　　　　　　　　,277 (50ML),1F-FRIDGE
371719,ロックタイト（緑）　　　　　　　　　　,603 (50ML),1F-FRIDGE
181981,パラレルジョイント　　　　　　　　　　,S24P,1F-G-01
181989,パラレルジョイント　　　　　　　　　　,S40P,1F-G-01
101008,サイルベア（長尺）　　　　　　　　　　,KSH24L-42-420,1F-G-02
101034,サイルベア（長尺）　　　　　　　　　　,KSH24L-63-420,1F-G-03
101035,サイルベア（長尺）　　　　　　　　　　,KSH24WL-42-420,1F-G-04
101036,サイルベア（長尺）　　　　　　　　　　,KSH24WL-63-420,1F-G-05
21044,パッキンセット（φ２５）　　　　　　　,S-25-2,1F-H-01
21045,パッキンセット（φ３２）　　　　　　　,S-32-1,1F-H-01
21046,パッキンセット（φ４０）　　　　　　　,S-40-1,1F-H-01
21047,パッキンセット（φ５０）　　　　　　　,S-50-1,1F-H-01
21071,パッキンセット（φ２５）　　　　　　　,S-25-1,1F-H-01
23464,パッキンセット　　　　　　　　　　　　,CG1N80-PS,1F-H-01
150361,パッキン　　　　　　　　　　　　　　　,PDU-20Z,1F-H-01
151064,パッキン　　　　　　　　　　　　　　　,PPD-50,1F-H-01
152284,パッキン　　　　　　　　　　　　　　　,PDU-25Z,1F-H-01
152285,パッキン　　　　　　　　　　　　　　　,PSD-0075A02N713,1F-H-01
152741,パッキン　　　　　　　　　　　　　　　,PPD-75,1F-H-01
181167,パッキンセット（φ５０）　　　　　　　,S-50-2,1F-H-01
181168,パッキンセット（φ６３）　　　　　　　,S-63-2,1F-H-01
183374,パッキンセット　　　　　　　　　　　　,SCM-80BK,1F-H-01
200229,Ｓ上下減速機ＡＳＳＹ（７００Ｉ～ＩＶ）,UA-09X-07-02-02,1F-H-02
200230,上下減速機ＡＳＳＹ（７００Ｉ～ＩＶ）　,UA-09X-06-01-02,1F-H-02
261681,姿勢ユニット（７００Ｖ用）　　　　　　,07ZV-SISEI-ASSY-11,1F-H-02
261712,姿勢ユニット（６００Ⅵ用）　　　　　　,06ZVI-SISEI-ASSY-5,1F-H-02
271767,姿勢ユニット（１１００Ｖ用）　　　　　,11ZV-SISEI-ASSY-13,1F-H-02
298302,姿勢部２軸ＮＣユニット（５５Ｎｍ）Ｖ用,303895-100-4,1F-H-02
383823,姿勢・旋回ＮＣユニット１９Ｎｍ（Ⅵ）　,305081-100-4,1F-H-02
130998,減速機　　　　　　　　　　　　　　　　,NEVSC-9B-100-M5-W,1F-H-03
183692,減速機　　　　　　　　　　　　　　　　,STSF-5C-750-P1,1F-H-03
183697,減速機　　　　　　　　　　　　　　　　,VRKF-S9E-1500-P1,1F-H-03
210526,エイブル減速機　　　　　　　　　　　　,VRKF-5C-400,1F-H-03
210528,減速機　　　　　　　　　　　　　　　　,VRKF-5E-2000,1F-H-03
210574,減速機　　　　　　　　　　　　　　　　,VRSF-S9B-100,1F-H-03
210693,減速機　　　　　　　　　　　　　　　　,VRKF-15C-400-M5,1F-H-03
210770,減速機　　　　　　　　　　　　　　　　,VRSF-S9C-200-M5,1F-H-03
210771,減速機　　　　　　　　　　　　　　　　,VRSF-15C-400-M5,1F-H-03
211069,減速機　　　　　　　　　　　　　　　　,VRXF-5C-K-400-TYPE1,1F-H-03
122478,ＡＣサーボモータ　　　　　　　　　　　,MSMA152P1H,1F-H-04
122479,ＡＣサーボモータ　　　　　　　　　　　,MDMA152P1G,1F-H-04
122480,ＡＣサーボモータ　　　　　　　　　　　,MDMA152P1H,1F-H-04
200119,上下駆動部ＡＳＳＹ１１・１５Ｉ～ＩＩＩ,UA-13X-06-01-00,1F-H-04
121907,ＡＣサーボモータ（ミナスＡ）　　　　　,MSMA202A1H,1F-H-05
122399,ＡＣサーボモータ（ミナスＡ）　　　　　,MDMA082A1D 750W ﾌﾞﾚｰｷﾂｷ,1F-H-05
122504,ＡＣサーボモータ　　　　　　　　　　　,MSMA202P1H,1F-H-05
122650,ＡＣサーボモータ　　　　　　　　　　　,MSMA202S1H,1F-H-05
123488,ＡＣサーボモータ　　　　　　　　　　　,MSME152SCH,1F-H-05
23344,ＣＣ－ＢＯＸ（間欠・可変速）　　　　　,CC-4BIII,1F-I-01
150504,インターロックハーネス　　　　　　　　,PC2P-00  2Pﾒﾀﾙｺﾝｾﾝﾄﾂｷ,1F-I-01
150505,電源ハーネス　　　　　　　　　　　　　,PC4P-01  4Pﾒﾀﾙｺﾝｾﾝﾄﾂｷ,1F-I-01
196886,コンベア電源線４Ｐ（外部電源側）Ａ　　,TA109-602-4(ｱﾌﾀｰ),1F-I-01
23277,真空発生ユニット（Ｎ．Ｃ）　　　　　　,CVX-1668-SC3,1F-I-02
23278,真空発生ユニット（Ｎ．Ｏ）　　　　　　,CVX-1669-SC3,1F-I-02
210804,真空発生ユニット　　　　　　　　　　　,V51-100-8283,1F-I-02
210894,Ｓバム真空発生ユニット　　　　　　　　,VC50608-080,1F-I-02
210906,Ｓバム真空発生ユニット　　　　　　　　,VC50647-080,1F-I-02
211014,真空発生ユニット（タコバム）　　　　　,V51-100-1283-C,1F-I-02
250073,真空発生ユニット　　　　　　　　　　　,ZM101M-A5G-E15-X247,1F-I-02
1965,減圧弁　　　　　　　　　　　　　　　　,AW30-03BDG-R,1F-I-03
80160,精密レギュレータ　　　　　　　　　　　,IR3020-04BG-R,1F-I-03
211376,精密レギュレータ　　　　　　　　　　　,VEX1533-06-BG-X408,1F-I-03
220173,フィルター／レギュレータ（ＳＰ取出機）,W3000-10-X1-B3,1F-I-03
221132,フィルタレギュレータ　　　　　　　　　,W3000-10W-FZX1-B3W,1F-I-03
283673,姿勢部ハーネス　　　　　　　　　　　　,202021-019-2,1F-I-03
283683,姿勢部ハーネス　　　　　　　　　　　　,202091-009-2,1F-I-03
285741,姿勢部ハーネス　　　　　　　　　　　　,205061-031-3,1F-I-03
122465,５軸デジタルサーボドライバー　　　　　,MSUA-05CA,1F-I-04
122466,３軸デジタルサーボドライバー　　　　　,MSUA-03SA,1F-I-04
122467,５軸デジタルサーボドライバー　　　　　,MSUA-05SA,1F-I-04
122498,５軸デジタルサーボドライバー　　　　　,MSUA-05LLB,1F-I-04
122484,５軸デジタルサーボドライバー　　　　　,MSUA-05MA,1F-I-05
122485,３軸デジタルサーボドライバー　　　　　,MSUA-03LLA,1F-I-05
122486,５軸デジタルサーボドライバー　　　　　,MSUA-05LLA,1F-I-05
122487,５軸デジタルサーボドライバー　　　　　,MSUA-05SB,1F-I-05
121137,ＡＣサーボドライバー　　　　　　　　　,MDD203A2W  2000W,1F-I-06
